Plot,Repeat,Vpmax,Vmax,SL,A,gsw,Vpmax/Vmax,iWUE
1001,1,53.45035868,36.98814438,0.102226241,29.94214658,0.231292358,0.692009283,129.4558404
1001,2,72.30967257,43.12157901,0.30163657,28.69077425,0.163034638,0.596345931,175.9796237
1001,3,33.14770685,37.53909055,0.299377058,20.62717724,0.155515483,1.132479261,132.6374509
1003,1,88.30826166,39.23867175,0.138091216,32.70592079,0.21648875,0.444337495,151.074459
1007,1,176.0699319,46.23288477,0.300773421,32.36958422,0.169156913,0.262582511,191.3583291
1007,2,77.79817563,53.29825282,0.259577938,36.40997129,0.262839273,0.685083582,138.5256125
1007,3,108.5838276,51.01782405,0.177762526,40.95061128,0.274274104,0.469847354,149.3054236
1010,1,50.75428898,33.93153777,0.211495837,24.19328631,0.170771578,0.668545229,141.67045
1010,2,47.19431612,34.68764006,0.33192012,20.461832,0.128826494,0.734996137,158.8324836
1010,3,45.30074362,28.40785493,0.108347439,25.02772574,0.181482504,0.627094671,137.9070995
1012,1,74.63483136,52.06191609,0.167949299,41.24849615,0.367168882,0.697555218,112.3420262
1012,3,34.75577239,26.33768366,0.283754451,15.94973761,0.10199602,0.757793076,156.3760783
1013,1,45.31923303,39.98126839,0.403405716,21.26733233,0.13745569,0.882214144,154.7213675
1013,2,45.73371229,36.26356667,0.350961772,20.60249322,0.132294087,0.792928561,155.7325326
1013,3,35.94678142,30.37415274,0.296279163,18.34241269,0.122025867,0.844975587,150.3157744
1027,1,119.8726183,49.53835684,0.290912247,34.93006841,0.195745169,0.41325832,178.4466436
1027,2,62.44526134,40.73863224,0.278647519,28.53634562,0.172652464,0.652389491,165.2820062
1027,3,75.79690711,42.56945696,0.163933277,34.93147101,0.246211094,0.561625251,141.8761049
1031,1,37.94203711,29.00487559,0.162354083,21.49978341,0.179362862,0.764452249,119.8675309
1031,2,49.51820623,37.48649615,0.190889576,27.36565948,0.236999993,0.757024517,115.466921
1034,1,31.37927325,31.53802937,0.363782332,16.30295336,0.106922558,1.005059267,152.4744045
1034,2,77.13572775,36.42125252,0.235301798,25.55023457,0.149216709,0.472170985,171.2290449
1036,2,106.5677394,49.74121522,0.327633049,32.84758036,0.191244213,0.466756783,171.7572513
1036,3,35.01454262,26.31747,0.168816874,19.51834498,0.158488075,0.751615415,123.153398
1037,1,46.74238413,31.39864766,0.237664711,21.6063984,0.129564054,0.671738257,166.7622904
1037,2,42.9726078,31.28559104,0.144203654,24.02535482,0.173470965,0.728035664,138.497845
1037,3,46.93420465,34.52936927,0.137927104,26.91264358,0.24657002,0.735697335,109.1480772
1039,1,44.49129882,34.34269252,0.239824787,22.96672176,0.156730606,0.77189683,146.5362915
1039,2,42.76321884,26.79093082,0.12937847,21.58234516,0.155343642,0.62649472,138.932916
1039,3,27.89728517,25.37335994,0.220710604,16.23826498,0.144167153,0.909527927,112.6349841
1048,1,41.57483315,34.45120139,0.421341443,16.55382772,0.093302489,0.828655193,177.4210731
1048,2,69.48726115,43.10428103,0.256363769,29.58910692,0.181222512,0.620319182,163.275007
1048,3,49.51406434,34.0093346,0.305241509,21.20254856,0.133222224,0.686862108,159.1517385
1050,3,113.6405263,22.18515552,0.139479408,18.96742997,0.092204235,0.195222217,205.7110497
1056,2,52.33064669,25.55229062,0.134686834,20.70008698,0.121764723,0.488285397,170.0006904
1059,1,60.14610398,28.07624939,0.092152643,25.36507106,0.144552978,0.466800799,175.4724905
1059,2,44.51742473,33.76787279,0.358274544,19.70277199,0.123343074,0.758531586,159.7395894
1059,3,36.63382934,38.05392687,0.464319399,16.12169915,0.096477642,1.038764649,167.1029558
1061,1,68.41548301,46.22460926,0.26204131,31.96306308,0.234860172,0.675645442,136.0940121
1061,2,71.51793032,38.47519068,0.289615432,26.00656906,0.155989295,0.537979644,166.7202167
1061,3,22.87749908,34.09699964,0.315963485,13.83993814,0.163531343,1.490416392,84.63171577
1064,1,60.8296764,28.63595438,0.263783117,19.78472,0.10831542,0.470756316,182.6583879
1064,2,47.70123287,32.42035358,0.155873835,25.4922215,0.209151598,0.679654416,121.8839432
1067,1,46.66849054,26.42831572,0.395707814,15.54010314,0.079813923,0.566298918,194.7041638
1067,2,69.5465165,37.45213946,0.217475848,28.75167333,0.184997451,0.538519272,155.4165918
1067,3,33.57978857,27.75391639,0.170010355,18.86763142,0.130898024,0.826506586,144.1399254
1069,1,62.51287167,38.64223643,0.165087289,30.19739943,0.230522401,0.618148477,130.9955098
1069,2,59.47099252,26.49793962,0.188162053,20.55589249,0.117432939,0.445560743,175.0436689
1069,3,63.62608806,28.04765581,0.143447704,23.04904621,0.13752049,0.440820058,167.6044509
1070,1,60.37305073,27.17328866,0.052470318,24.52812161,0.20668545,0.450089706,118.6736735
1070,2,58.13823242,21.67698132,0.052165986,19.88791114,0.164170765,0.372852431,121.1416122
1070,3,91.80168339,48.40258214,0.109304124,41.49818421,0.319869456,0.527251575,129.7347509
1082,1,70.79549733,27.68016432,0.144987868,23.433201,0.117321752,0.390987639,199.734496
1082,2,33.11146887,20.14378017,0.328579004,12.76488168,0.07111931,0.608362627,179.4854545
1082,3,40.42922714,27.74594732,0.254929912,18.44518631,0.123355622,0.686284386,149.528542
1085,1,82.76280022,42.77044858,0.152445656,34.8857493,0.240341893,0.516783488,145.150514
1085,2,44.8141312,29.71123977,0.195193483,21.65823676,0.150931969,0.662988191,143.496682
1085,3,43.76346414,32.66518956,0.25334944,22.11886383,0.139311889,0.746403197,158.7722626
1086,1,63.42248539,42.58202521,0.178757149,32.88114947,0.265818034,0.671402657,123.6979635
1086,2,53.9220932,37.68715666,0.190832,27.40965228,0.196605266,0.698918651,139.4146395
1086,3,55.51204159,45.49626339,0.310359055,29.847707,0.238704457,0.819574674,125.040426
1087,1,55.09514955,38.99020797,0.182862079,28.84640103,0.213126369,0.707688577,135.3488128
1087,2,81.91006043,40.52867425,0.075845406,35.81478316,0.308666071,0.494794828,116.0308389
1087,3,73.29831835,41.30622279,0.160114127,33.05032044,0.222156512,0.56353575,148.7704328
1092,1,40.14836494,26.31762255,0.37187125,16.37836819,0.097725067,0.655509199,167.5963874
1092,2,69.06710758,46.94759223,0.360476016,27.952711,0.17154359,0.679738791,162.9481521
1096,1,85.71454259,39.36737432,0.151633232,31.97471386,0.22324584,0.459284657,143.2264711
1096,2,59.45033946,35.53167134,0.174096425,27.1892522,0.18685743,0.597669781,145.5080068
1105,1,49.59169948,33.93054209,0.148861143,26.8920331,0.212532435,0.68419801,126.5314308
1105,2,80.4810043,40.14958996,0.239401385,29.84782009,0.176437243,0.498870389,169.1696128
1105,3,75.47390344,31.12052481,0.201243144,24.90126281,0.140459746,0.412334905,177.2839801
1107,1,45.61136491,30.74375829,0.288997489,20.10488144,0.129441744,0.674037235,155.3199209
1107,2,71.99968163,36.52161227,0.318275379,23.62558337,0.132781805,0.507246858,177.9278672
1107,3,100.9147995,38.51085045,0.445244276,20.82359768,0.104522888,0.38161747,199.2252422
1113,1,48.53634165,33.0805188,0.068186698,28.23314752,0.238735594,0.68156185,118.2611568
1113,2,46.75050175,29.26406711,0.067488171,25.2557179,0.189858462,0.625962632,133.0239255
1113,3,70.27819414,34.90474718,0.111693513,29.68249122,0.193306471,0.496665397,153.5514619
1114,1,81.60794409,38.59584986,0.115163644,33.23455188,0.228533835,0.472942313,145.4250828
1114,2,49.05427245,24.21691325,0.093045453,20.81123576,0.150632044,0.493675923,138.1594195
1114,3,78.57698429,29.231845,0.347386972,18.62835425,0.095381352,0.372015359,195.3039442
1119,1,71.15401391,28.62979215,0.175665227,23.16581981,0.131497876,0.402363698,176.1687756
1119,2,26.44882408,18.76310978,0.066923977,15.89237736,0.13403917,0.709411871,118.5651729
1119,3,115.4108635,34.73091949,0.250953515,25.7935557,0.132585976,0.300932845,194.5421113
1120,1,43.48564915,36.7578384,0.333852068,21.63741906,0.139638863,0.845286643,154.9527015
1126,1,50.86288225,39.89070989,0.37065019,21.87187012,0.134259689,0.784279383,162.9072008
1126,2,48.61346237,32.88003865,0.369890327,20.30667379,0.124432021,0.676356652,163.1949206
1126,3,74.54602311,39.1779062,0.350472809,24.2465908,0.138945606,0.52555327,174.5041927
1130,1,84.62780189,41.71383199,0.201746547,32.59918977,0.211456983,0.492909316,154.1646405
1130,2,77.18893724,41.17963246,0.15656293,33.30459841,0.227364803,0.533491378,146.4808887
1130,3,48.37731453,32.97501803,0.267745797,22.49532443,0.146547254,0.681621507,153.50219
1133,1,61.03020744,46.30682069,0.323802936,28.42462362,0.188494426,0.758752471,150.7982184
1133,2,49.35092458,38.32583226,0.163962096,27.92009853,0.243633357,0.776598059,114.5988336
1133,3,45.56597833,40.14925511,0.283351474,24.78573713,0.153842356,0.881123518,161.1112685
1135,1,60.23689357,39.18893749,0.108651313,31.97429814,0.223621175,0.65058032,142.9842149
1135,2,59.89164501,36.72900085,0.132595173,30.0560546,0.231847862,0.613257506,129.6369712
1135,3,117.45514,36.86648295,0.337379765,24.14075984,0.124572843,0.313877136,193.788303
1143,1,48.547039,30.00774903,0.081269066,26.30974007,0.228042972,0.618116978,115.3718522
1143,2,88.72941202,32.13397598,0.174468005,25.01876639,0.137788533,0.362156981,181.5736466
1143,3,75.94410086,30.18801617,0.125003661,25.89019969,0.155099007,0.397503109,166.926921
1149,1,45.45822975,20.32822682,0.201266272,14.96715137,0.079639576,0.447184744,187.9361006
1149,2,29.50941111,23.5535458,0.209712054,15.83217558,0.115562927,0.798170648,137.0004723
1149,3,64.85049394,31.51415638,0.169739054,25.13411531,0.155403469,0.485950908,161.7345834
1151,2,40.3596832,22.87800704,0.175759141,17.70849038,0.109286854,0.566852989,162.0367842
1151,3,28.78030576,26.53251859,0.289485541,15.46492702,0.109148515,0.921898427,141.6870126
1160,1,52.72260409,41.39766018,0.317985703,25.8765532,0.196111319,0.785197562,131.94829
1160,2,78.82222486,42.71404448,0.342803886,27.75941441,0.157798747,0.541903563,175.9165706
1160,3,76.13944884,38.79673686,0.358727008,23.74325028,0.134084175,0.509548433,177.0772
1161,1,77.32270393,44.73810642,0.216573401,33.37101557,0.214869692,0.578589523,155.3081557
1161,2,51.64177052,43.14307212,0.296502765,25.97695038,0.166459183,0.835429763,156.0559767
1161,3,59.8806339,41.86505257,0.276699563,27.51212191,0.168565902,0.699141773,163.2128537
1163,1,15.90640028,15.30868807,0.221108154,10.11555548,0.082697564,0.962423163,122.3198724
1163,3,25.05297934,21.38533792,0.177867323,14.9434659,0.117313716,0.853604581,127.3803815
1165,1,8.203581135,10.9883286,0.139273403,6.616741804,0.11320046,1.339455101,58.4515452
1165,2,12.5053539,15.61435932,0.114235213,9.478257426,0.134418447,1.248613949,70.51307047
1165,3,7.431580003,9.159762343,0.199146764,5.374362349,0.070149262,1.232545749,76.61324148
1168,1,68.14889449,46.78049679,0.308050661,30.88357893,0.225004254,0.686445424,137.2577557
1168,2,92.35157913,45.68331899,0.348335311,29.24955163,0.168209609,0.494667437,173.8875193
1169,3,70.97619673,46.13702979,0.511418986,22.07651922,0.120587919,0.65003525,183.0740542
1170,2,58.86794611,34.17771197,0.254256458,24.5884619,0.150656874,0.580582715,163.2083638
1170,3,38.41415726,36.80123566,0.417713045,17.43659203,0.105780487,0.958012313,164.8375095
1172,1,68.42966346,41.67372939,0.436477133,22.73980045,0.129297778,0.60900094,175.8715486
1172,3,75.35167946,45.76344647,0.243300548,32.55659652,0.223738232,0.607331473,145.5119951
1175,1,64.51749777,39.85367428,0.225603271,29.39965334,0.196602339,0.617718846,149.5386753
1175,2,63.71992257,42.03600622,0.216187124,31.63680642,0.25564707,0.659699581,123.7518835
1175,3,60.58903295,41.00085374,0.240561345,28.69637583,0.20468035,0.676704211,140.200932
1177,1,84.49448277,48.43838355,0.188989586,39.16695569,0.268499337,0.573272739,145.8735658
1177,2,154.985609,48.95405539,0.247028404,36.74953717,0.205609216,0.315861942,178.7348733
1177,3,61.52430526,40.77219777,0.211411763,29.11825414,0.190568451,0.662700661,152.7968244
1180,1,102.3905469,39.68173226,0.159148601,32.55510341,0.200589362,0.387552694,162.2972579
1180,2,107.8867968,30.84236575,0.149933198,26.02742208,0.141708324,0.285877111,183.6689712
1180,3,88.33576549,54.92655239,0.241124816,40.12929237,0.313555067,0.621792907,127.9816421
1181,1,72.73210058,44.94902476,0.263540893,31.51575045,0.208398192,0.618008065,151.2285215
1181,2,69.0534934,45.36383641,0.271491405,29.78514189,0.184191681,0.656937603,161.7073134
1181,3,81.6781068,41.56895388,0.173620045,33.71047664,0.221606847,0.508936305,152.1183894
1185,1,38.76953586,21.36605658,0.264274326,14.4603706,0.082150619,0.551104265,176.0226615
1185,2,32.70150741,26.84311639,0.22444565,18.07578101,0.119013078,0.82085257,151.8806279
1185,3,39.38345285,28.45794623,0.368124679,15.25971744,0.089362699,0.72258637,170.7615998
1188,1,59.40735347,36.85911867,0.495155077,17.57008142,0.094752357,0.620447075,185.4316027
1188,2,36.36617289,35.44083357,0.445475783,16.13602289,0.101246079,0.974554944,159.3742992
1188,3,64.9421397,44.11159068,0.46848322,21.27799125,0.119233011,0.679244492,178.4572164
1195,1,43.16386831,23.6218814,0.105086351,19.69401975,0.135072721,0.547260529,145.8030874
1195,2,18.04501944,10.43231941,0.133682771,8.561529682,0.056311016,0.578127357,152.0400499
1195,3,71.62815238,41.29359845,0.259001249,29.02785858,0.193603908,0.576499562,149.9342595
1202,1,54.78972542,34.6026239,0.12882347,28.68226306,0.23877908,0.631553154,120.1205024
1202,2,22.03873043,20.71250311,0.40297095,9.902603452,0.061027373,0.93982288,162.2649471
1202,3,9.305599975,13.9420116,0.241146234,6.458485329,0.066179429,1.498238871,97.59052664
1204,1,55.48176505,40.28374801,0.270024121,26.2534833,0.18337733,0.726071854,143.1664607
1204,2,40.34958016,26.05996504,0.193173313,18.6461748,0.115255334,0.645854676,161.7814478
1204,3,61.02186717,47.8974746,0.196120281,34.7693676,0.283855136,0.784923124,122.4898309
1209,1,51.27797477,39.74325826,0.339190597,24.36454012,0.153910151,0.775055147,158.3036594
1209,2,48.85228024,32.78815361,0.425908844,17.58901115,0.097145093,0.671169359,181.0591828
1209,3,55.25831436,34.48789511,0.304615993,23.1181836,0.131458096,0.624121375,175.8597173
1217,1,39.69015264,40.56252964,0.269091926,23.75886097,0.178749365,1.021979684,132.9171769
1217,2,59.81834336,43.57006358,0.379352536,23.92583374,0.142649198,0.728372956,167.724979
1217,3,78.71337779,43.85515213,0.35298205,25.23891115,0.135993761,0.55714992,185.5887429
1228,1,63.82761169,43.0874461,0.395164698,24.0205565,0.142923999,0.675059664,168.0652421
1228,2,81.26729266,41.30878516,0.673783867,12.65029529,0.060279101,0.508307633,209.8620431
1228,3,74.63721581,34.54739679,0.308479336,23.31747237,0.127900131,0.462870921,182.309996
1231,1,70.60724191,36.65948143,0.317580143,23.43571403,0.133202017,0.519202853,175.9411348
1231,2,32.82687484,27.73895688,0.250677351,18.32650121,0.131279826,0.845007544,139.5987622
1231,3,58.23126345,34.87013443,0.158042056,27.80266644,0.203384958,0.598821533,136.6997182
1237,1,48.30461206,29.72351348,0.168545435,22.65205367,0.150170933,0.615334897,150.8417989
1237,2,69.53596532,39.31591205,0.202145991,29.99446886,0.200546649,0.565403987,149.5635505
1237,3,62.97173484,37.20580153,0.218494823,27.52992115,0.184990039,0.590833358,148.8183975
1240,1,128.9157432,37.7390392,0.165999781,31.08152148,0.173662312,0.292741897,178.9767804
1240,2,63.83896777,41.82396028,0.210512055,31.49963289,0.221618754,0.655147815,142.134329
1240,3,36.01623521,31.30100801,0.161010709,22.30635739,0.237964586,0.869080509,93.73813879
1244,1,50.9461694,28.73656677,0.198532676,21.41210172,0.134159025,0.564057457,159.6023951
1244,2,63.45060206,33.81402499,0.093403195,29.08538484,0.215357161,0.532918899,135.056502
1244,3,43.90299607,30.51814111,0.157423102,23.65693462,0.19801561,0.695126616,119.470049
1249,1,49.1836964,33.63936453,0.247087679,23.0816197,0.143149732,0.683953566,161.2410961
1249,2,113.2972321,54.94920513,0.12102032,47.06610315,0.353818723,0.48500042,133.0232124
1250,1,52.00504377,36.17197616,0.563622803,14.47609055,0.075194799,0.695547461,192.5145189
1250,2,68.05899385,41.61303365,0.474785445,20.6462723,0.112674246,0.611425931,183.2386107
1250,3,37.14198987,41.05681349,0.690871928,10.00649457,0.051533526,1.105401559,194.1744597
1252,2,82.57379417,41.82723351,0.229848215,31.63720714,0.187801448,0.506543679,168.460933
1252,3,53.8961125,35.7860041,0.321743767,24.14775171,0.147859066,0.663981175,163.3160033
1260,1,120.9729665,43.10118132,0.220395397,32.97668338,0.187809505,0.356287711,175.5858064
1260,2,73.66736097,39.14496665,0.172698919,31.11133003,0.209714447,0.53137463,148.3509147
1260,3,74.13835656,37.51378744,0.166066297,30.08964971,0.190997277,0.505997019,157.539679
1272,1,31.40736294,28.51261326,0.329957919,16.530552,0.106291176,0.907832132,155.5213953
1272,2,24.42517588,23.94702597,0.448902475,10.68232335,0.062997435,0.980423891,169.5675919
1294,1,34.03071582,34.94204633,0.201453539,23.4530647,0.199549877,1.026779645,117.5298379
1294,2,61.94886741,39.82469269,0.328491113,24.98865027,0.14635327,0.642863935,170.7420017
1294,3,84.19439795,52.28696942,0.228269382,38.66864158,0.273156577,0.621026704,141.5621839
1307,1,35.37930543,27.81356208,0.276702877,18.65804262,0.134374727,0.786153423,138.8508318
1307,2,99.87054421,45.55579126,0.407120517,24.38106531,0.122389441,0.456148423,199.2088951
2007,1,44.49880383,27.11642832,0.170204835,20.8011352,0.139848849,0.60937432,148.7401244
2007,2,20.35291668,24.35836422,0.275953378,13.21314215,0.101268559,1.196799683,130.4762532
2007,3,117.7762769,38.83051252,0.276383284,27.52607402,0.146054503,0.329697232,188.4643983
